Date,Open,High,Low,Close,Adjusted_close,Volume
2024-01-29,3800.8,3820,3780.85,3801,3801,1646747
2024-01-30,3807.45,3847.8,3787,3800.55,3800.55,1411621
2024-01-31,3811.2,3834,3796.45,3815.95,3815.95,2459358
2024-02-01,3820,3904.9,3805.05,3854.15,3854.15,2363107
2024-02-02,3875.05,3984.4,3872,3966.3,3966.3,2826510
2024-02-05,3983,4022,3962.1,3973.3,3973.3,1691523
2024-02-06,3997,4149.9,3990,4136,4136,4474396
2024-02-07,4153,4155,4073.95,4083.4,4083.4,2124267
2024-02-08,4090,4158,4086.05,4134.1,4134.1,2345173
2024-02-09,4136.55,4184.75,4100,4133.7,4133.7,2100596
2024-02-12,4130,4159.6,4105.55,4120.7,4120.7,1013716
2024-02-13,4125.45,4170,4081.5,4149.5,4149.5,1257415
2024-02-14,4107,4114.9,4049.5,4100.1,4100.1,1391283
2024-02-15,4128,4146.3,4083,4103.2,4103.2,1091582
2024-02-16,4113.25,4147.95,4100.1,4128.3,4128.3,1307556
2024-02-19,4123.05,4128.3,4055,4103.8,4103.8,772291
2024-02-20,4082.1,4098,4010,4030.65,4030.65,1193648
2024-02-21,4013,4063.35,3980.6,3991.5,3991.5,1885939
2024-02-22,3971,4094.95,3971,4087.1,4087.1,2982052
2024-02-23,4130,4130,4046.4,4052.1,4052.1,2537629
